price_per_unit,id,product_name,vendor
$6.43/100g,1395,Marcangelo Snackissimo Genoa Salami & Provolone Cheese 70 g,Voila
$6.43/100g,1397,Marcangelo Snackissimo Salami And Cheese Genoa & Provolone Hot 70 g,Voila
$3.42/100g,1630,San Daniele Mortadella Sliced Meat 175 g,Voila
$2.28/100g,1630,San Daniele Mortadella Sliced Meat 175 g,Voila
$2.85/100g,1630,San Daniele Mortadella Sliced Meat 175 g,Voila
$6.36/100g,1656,Slim Jim Giant Meat Snack Mild 27.5 g,Voila
$6.36/100g,1657,Slim Jim Giant Meat Snack Original 27.5 g,Voila
$6.36/100g,1658,Slim Jim Meat Snack Giant Hot 27.5 g,Voila
$2.33/100g,1662,Best Buy Frozen Shrimp Pacific White Peeled Tail-On 300 g,Voila
$2.35/100g,1669,Compliments Frozen Uncooked Peeled Deveined Shrimp 31/40 Count 340 g,Voila
$2.06/100g,1669,Compliments Frozen Uncooked Peeled Deveined Shrimp 31/40 Count 340 g,Voila
$2.75/100g,1787,Toppits Frozen Gluten-Free Breaded Haddock 400 g,Voila
$3.00/100g,1787,Toppits Frozen Gluten-Free Breaded Haddock 400 g,Voila
$0.30/100ml,1844,A2 Milk 1% Partly Skimmed Milk 2 L,Voila
$0.20/100ml,1875,Earth's Own Organic Almond Milk Unsweetened Vanilla Dairy-Free Plant-Based Beverage 1.75 L,Voila
$0.61/100ml,1964,Silk Barista Dairy Free Almond Beverage Original 946 ml,Voila
$0.21/100ml,1970,Silk Dairy-Free Almond Beverage Dark Chocolate 1.89 L,Voila
$0.21/100ml,1972,Silk Dairy-Free Almond Beverage Unsweetened Original 1.89 L,Voila
$0.21/100ml,1974,Silk Dairy-Free Almond Beverage Unsweetened Vanilla 1.89 L,Voila
$0.21/100ml,1976,Silk Dairy-Free Almond Beverage Vanilla 1.89 L,Voila
$0.23/100ml,1981,Silk Dairy-Free Oat Beverage Vanilla Unsweetened 1.75 L,Voila
$0.21/100ml,1983,Silk Dairy-Free Organic Soy Beverage Original 1.89 L,Voila
$0.21/100ml,1984,Silk Dairy-Free Organic Soy Beverage Unsweetened Original 1.89 L,Voila
$0.21/100ml,1985,Silk Dairy-Free Organic Soy Beverage Vanilla 1.89 L,Voila
$0.23/100ml,1986,Silk Dairy-Free Plant Based Oat Beverage Dark Chocolate Flavour 1.75 L,Voila
$0.23/100ml,1988,Silk Dairy-Free Plant Based Oat Beverage Vanilla Flavour 1.75 L,Voila
$0.21/100ml,1990,Silk Gluten-Free Beverage Almond & Coconut Unsweetened 1.89 L,Voila
$0.21/100ml,1991,Silk Gluten-Free Beverage Coconut Original 1.89 L,Voila
$0.21/100ml,1995,Silk Organic Dairy-Free Soy Beverage Dark Chocolate 1.89 L,Voila
$0.21/100ml,1997,Silk Plant Based Dairy-Free Almond Beverage Original 1.89 L,Voila
$0.57/100ml,2007,International Delight  Coffee Creamer Vanilla Toffee Caramel 473 ml,Voila
$0.74/100ml,2007,International Delight  Coffee Creamer Vanilla Toffee Caramel 473 ml,Voila
$0.63/100ml,2010,International Delight Coffee Creamer Double Double 946 ml,Voila
$0.63/100ml,2015,International Delight Coffee Creamer Irish Creme 946 ml,Voila
$0.58/100ml,2015,International Delight Coffee Creamer Irish Creme 946 ml,Voila
$0.63/100ml,2017,International Delight Coffee Creamer Reduced Sugar French Vanilla 946 ml,Voila
$0.63/100ml,2020,International Delight Coffee Creamer Zero Sugar Hazelnut 946 ml,Voila
$0.63/100ml,2021,International Delight Coffee Enhancer Caramel Waffle Cookie Limited Edition 946 ml,Voila
$1.51/100g,2022,International Delight Cold Foam Caramel Macchiato Coffee Creamer 396 g,Voila
$1.51/100g,2023,International Delight Cold Foam French Vanilla Coffee Creamer 396 g,Voila
$0.63/100ml,2024,International Delight Fat-Free Coffee Creamer French Vanilla 946 ml,Voila
$0.63/100ml,2025,International Delight Fat-Free Coffee Creamer Hazelnut 946 ml,Voila
$0.63/100ml,2026,International Delight Zero Sugar Coffee Enhancer Caramel Macchiato Limited Edition 946 ml,Voila
$0.52/100ml,2040,Coffee-Mate Creamer Aero Truffle Tiramisu Limited Edition 828 ml,Voila
$0.63/100ml,2069,Silk Dairy-Free Coffee Creamer Almond Hazelnut 473 ml,Voila
$0.66/100ml,2073,Silk Plant Based Coffee Creamer Almond Caramel Limited Edition 450 ml,Voila
$2.40/100g,2146,Lactantia Premium Unsalted European Style Cultured Butter 250 g,Voila
$0.41/100g,2163,Astro Original Yogurt Lemon Balkan 3.25% 650 g,Voila
$0.36/100g,2166,Astro Original Yogurt Plain Balkan 6% 750 g,Voila
$1.12/100g,2181,Liberté Greek Yogurt Lemon 2% x 100 g,Voila
$0.75/100g,2181,Liberté Greek Yogurt Lemon 2% x 100 g,Voila
$0.83/100g,2181,Liberté Greek Yogurt Lemon 2% x 100 g,Voila
$0.97/100g,2181,Liberté Greek Yogurt Lemon 2% x 100 g,Voila
$0.90/100g,2186,"Liberté Méditerranée 9% Yogurt, Coconut, 500 g",Voila
$0.60/100g,2186,"Liberté Méditerranée 9% Yogurt, Coconut, 500 g",Voila
$0.67/100g,2186,"Liberté Méditerranée 9% Yogurt, Coconut, 500 g",Voila
$0.78/100g,2186,"Liberté Méditerranée 9% Yogurt, Coconut, 500 g",Voila
$0.97/100g,2191,Yoplait 3% Minigo Yogurt Duo Variety Pack Kids Snack 6 x 60 g,Voila
$0.97/100g,2192,Yoplait Minigo Duo 3% Yogurt Variety Pack Kids Snack 6 x 60 g,Voila
$0.97/100g,2193,Yoplait Minigo Duo Yogurt 3% Kids Snack Variety Pack 6 x 60 g,Voila
$0.94/100ml,2204,Activia Immune System Probiotic 1.5% Drinkable Yogurt Peach 8 x 93 ml (bottles),Voila
$0.81/100ml,2204,Activia Immune System Probiotic 1.5% Drinkable Yogurt Peach 8 x 93 ml (bottles),Voila
$0.50/100ml,2256,Compliments 0.7% Drinkable Yogurt Raspberry 200 ml,Voila
$0.63/100ml,2256,Compliments 0.7% Drinkable Yogurt Raspberry 200 ml,Voila
$0.94/100ml,2258,DanActive 1.5% Yogurt Drink Strawberry-Banana Flavour 93 ml (Pack of 8),Voila
$0.72/100ml,2283,iÖGO nanö Drinkable Yogurt Banana 1% 6 x 93 ml,Voila
$0.63/100ml,2283,iÖGO nanö Drinkable Yogurt Banana 1% 6 x 93 ml,Voila
$0.89/100ml,2283,iÖGO nanö Drinkable Yogurt Banana 1% 6 x 93 ml,Voila
$0.72/100ml,2284,iÖGO nanö Drinkable Yogurt Vanilla 1% 6 x 93 ml,Voila
$0.63/100ml,2284,iÖGO nanö Drinkable Yogurt Vanilla 1% 6 x 93 ml,Voila
$0.89/100ml,2284,iÖGO nanö Drinkable Yogurt Vanilla 1% 6 x 93 ml,Voila
$0.60/100ml,2289,Liberté 1% Kefir Mango 1 L,Voila
$0.87/100g,2294,Liberté Greek 0% Lactose-Free Yogurt Plain High Protein 750 g,Voila
$0.80/100g,2294,Liberté Greek 0% Lactose-Free Yogurt Plain High Protein 750 g,Voila
$0.87/100g,2295,Liberté Greek 0% Lactose-Free Yogurt Vanilla High Protein 750 g,Voila
$0.80/100g,2295,Liberté Greek 0% Lactose-Free Yogurt Vanilla High Protein 750 g,Voila
$0.60/100ml,2320,Liberté Kefir 1% Plain 1 L,Voila
$1.20/100g,2328,Maison Riviera Oat Based Vegan 3% Yogurt Greek Style Strawberry Raspberry 500 g,Voila
$0.84/100g,2329,Oikos 0% Greek Yogurt High Protein Vanilla 650 g,Voila
$1.08/100g,2329,Oikos 0% Greek Yogurt High Protein Vanilla 650 g,Voila
$1.15/100g,2329,Oikos 0% Greek Yogurt High Protein Vanilla 650 g,Voila
$0.84/100g,2330,Oikos 0% Greek Yogurt High Protein Zesty Lemon & Lime Value Tub 650 g,Voila
$1.08/100g,2330,Oikos 0% Greek Yogurt High Protein Zesty Lemon & Lime Value Tub 650 g,Voila
$1.15/100g,2330,Oikos 0% Greek Yogurt High Protein Zesty Lemon & Lime Value Tub 650 g,Voila
$0.87/100g,2335,Oikos 2% Greek Yogurt Strawberry Raspberry Fruit On The Bottom 4 x 100 g,Voila
$1.00/100g,2335,Oikos 2% Greek Yogurt Strawberry Raspberry Fruit On The Bottom 4 x 100 g,Voila
$0.84/100g,2346,Oikos Fat-Free 0% Greek Yogurt High Protein Plain 650 g ,Voila
$1.08/100g,2346,Oikos Fat-Free 0% Greek Yogurt High Protein Plain 650 g ,Voila
$1.15/100g,2346,Oikos Fat-Free 0% Greek Yogurt High Protein Plain 650 g ,Voila
$0.87/100g,2364,Oikos Greek Yogurt Pink Lemonade Flavour Limited Edition 4 x 100 g,Voila
$1.00/100g,2426,Silk Protein Plant-Based Yogurt Key Lime flavoured 500 g,Voila
$1.10/100g,2426,Silk Protein Plant-Based Yogurt Key Lime flavoured 500 g,Voila
$0.80/100g,2430,Two Good Low Sugar Yogurt Plain 625 g,Voila
$0.50/100ml,2440,Yoplait Yop 1% Drinkable Yogurt Cotton Candy Unicorn Magical Edition 200 mL,Voila
$0.45/100ml,2474,Cool Whip Frozen Light Whipped Topping 1 L,Voila
$4.67/100g,2489,CRAVE Breakfast Bowl Scramble Kit Veggie 64 g,Voila
$5.45/100g,2489,CRAVE Breakfast Bowl Scramble Kit Veggie 64 g,Voila
$1.53/100g,2641,Compliments Regular Cheese Ricotta  475 g,Voila
$2.97/100g,3164,Cracker Barrel Portion Snack Cheese Medium Cheddar 8 units 168 g,Voila
$2.97/100g,3165,Cracker Barrel Portion Snack Cheese Old Cheddar 8 units 168 g,Voila
$2.97/100g,3166,Cracker Barrel Portion Snack Cheese Old Cheddar Probiotic 8 units 168 g,Voila
$3.17/100g,3185,Black Diamond Marble Cheese Probiotic Cheestrings 252 g,Voila
$2.77/100g,3185,Black Diamond Marble Cheese Probiotic Cheestrings 252 g,Voila
$3.98/100g,3197,Laughing Cow Cheese Original 133 g,Voila
$3.98/100g,3199,Laughing Cow Jalapeno Cheese 133 g,Voila
$0.44/100g,3331,Dempster's Bread 100% Whole Wheat 675 g,Voila
$0.44/100g,3334,Dempster's Enriched White Bread 675 g,Voila
$0.01/gram,3335,Dempster’s  Sandwich Bread 100% Whole Wheat Texas Toast,Voila
$0.50/100g,3339,Dempster’s 100% Whole Grains Bread Multigrain 600 g,Voila
$0.64/100g,3340,Dempster’s Bread 100% Whole Grains Double Flax 600 g,Voila
$0.50/100g,3340,Dempster’s Bread 100% Whole Grains Double Flax 600 g,Voila
$0.41/100g,3342,Dempster’s Thin Sandwich Bread 100% Whole Wheat 675 g,Voila
$0.63/100g,3344,Dempster’s White Sandwich Bread Texas Toast 675 g,Voila
$1.18/100g,3416,Thomas' Croissant Loaf 380 g,Voila
$1.31/100g,3416,Thomas' Croissant Loaf 380 g,Voila
$0.91/100g,3443,Compliments Mini Slider Bun 384 g,Voila
$0.50/100g,3444,Dempster's Hamburger Buns Original 8 Pack 448 g,Voila
$0.78/100g,3444,Dempster's Hamburger Buns Original 8 Pack 448 g,Voila
$0.67/100g,3444,Dempster's Hamburger Buns Original 8 Pack 448 g,Voila
$0.45/100g,3444,Dempster's Hamburger Buns Original 8 Pack 448 g,Voila
$0.59/100g,3445,Dempster's Hot Dog Buns Original 8 Pack 376 g,Voila
$0.93/100g,3445,Dempster's Hot Dog Buns Original 8 Pack 376 g,Voila
$0.80/100g,3445,Dempster's Hot Dog Buns Original 8 Pack 376 g,Voila
$0.53/100g,3445,Dempster's Hot Dog Buns Original 8 Pack 376 g,Voila
$0.92/100g,3447,Dempster's Signature The Classic Sausage Buns 6 Pack 432 g,Voila
$1.02/100g,3511,Dempster’s Signature Bagels Four Cheese 5 Pack 375 g ,Voila
$0.88/100g,3531,Dempster's English Muffins Original 6 Pack 340 g,Voila
$0.72/100g,3531,Dempster's English Muffins Original 6 Pack 340 g,Voila
$0.82/100g,3531,Dempster's English Muffins Original 6 Pack 340 g,Voila
$0.88/100g,3532,Dempster’s Whole Grain English Muffins 340 g,Voila
$0.72/100g,3532,Dempster’s Whole Grain English Muffins 340 g,Voila
$0.82/100g,3532,Dempster’s Whole Grain English Muffins 340 g,Voila
